,O*NET-SOC Code,Title,Probability of Analytical,Predicted Analytical,Description,Idea Generation and Reasoning Abilities,Critical Thinking,Active Learning,Complex Problem Solving,Information and Data Processing,Reasoning and Decision Making,Innovation,Analytical Thinking
434,31-2012.00,Occupational Therapy Aides,0.23,0,"Under close supervision of an occupational therapist or occupational therapy assistant, perform only delegated, selected, or routine tasks in specific situations. These duties include preparing patient and treatment room.",3,3.38,3,2.88,3.23,3.97,3.2,3.15
435,31-2021.00,Physical Therapist Assistants,0.45,0,"Assist physical therapists in providing physical therapy treatments and procedures. May, in accordance with state laws, assist in the development of treatment plans, carry out routine functions, document the progress of treatment, and modify specific treatments in accordance with patient status and within the scope of treatment plans established by a physical therapist. Generally requires formal training.",3.27,3.88,3.12,3,3.6,4.1,3.77,3.7
436,31-2022.00,Physical Therapist Aides,0.07,0,"Under close supervision of a physical therapist or physical therapy assistant, perform only delegated, selected, or routine tasks in specific situations. These duties include preparing the patient and the treatment area.",2.71,2.88,2.75,2.75,2.82,3.18,3.38,3.43
437,31-9011.00,Massage Therapists,0.18,0,"Perform therapeutic massages of soft tissues and joints. May assist in the assessment of range of motion and muscle strength, or propose client therapy plans.",2.98,3.25,3,2.75,3.09,3.64,3.65,3.77
438,31-9091.00,Dental Assistants,0.2,0,"Perform limited clinical duties under the direction of a dentist. Clinical duties may include equipment preparation and sterilization, preparing patients for treatment, assisting the dentist during treatment, and providing patients with instructions for oral healthcare procedures. May perform administrative duties such as scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes.",3,3.12,3.12,2.88,4.06,4.24,3.5,3.68
439,31-9092.00,Medical Assistants,0.38,0,"Perform administrative and certain clinical duties under the direction of a physician. Administrative duties may include scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes. Clinical duties may include taking and recording vital signs and medical histories, preparing patients for examination, drawing blood, and administering medications as directed by physician.",3.2,3.62,3.38,2.88,4.86,4.77,3.61,3.55
440,31-9093.00,Medical Equipment Preparers,0.13,0,"Prepare, sterilize, install, or clean laboratory or healthcare equipment. May perform routine laboratory tasks and operate or inspect equipment.",2.69,2.88,3,2.5,5.21,4.49,3.63,3.93
441,31-9094.00,Medical Transcriptionists,0.06,0,"Transcribe medical reports recorded by physicians and other healthcare practitioners using various electronic devices, covering office visits, emergency room visits, diagnostic imaging studies, operations, chart reviews, and final summaries. Transcribe dictated reports and translate abbreviations into fully understandable form. Edit as necessary and return reports in either printed or electronic form for review and signature, or correction.",2.61,3.12,2.88,2.5,3.18,2.78,3.02,3.11
442,31-9095.00,Pharmacy Aides,0.07,0,"Record drugs delivered to the pharmacy, store incoming merchandise, and inform the supervisor of stock needs. May operate cash register and accept prescriptions for filling.",2.5,2.88,2.5,2.38,3.85,3.71,2.86,3.22
443,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,0.14,0,"Feed, water, and examine pets and other nonfarm animals for signs of illness, disease, or injury in laboratories and animal hospitals and clinics. Clean and disinfect cages and work areas, and sterilize laboratory and surgical equipment. May provide routine postoperative care, administer medication orally or topically, or prepare samples for laboratory examination under the supervision of veterinary or laboratory animal technologists or technicians, veterinarians, or scientists.",2.86,3.12,3,2.25,2.92,3.4,2.72,3.18
444,31-9097.00,Phlebotomists,0.19,0,"Draw blood for tests, transfusions, donations, or research. May explain the procedure to patients and assist in the recovery of patients with adverse reactions.",2.87,3.25,3,2.38,4.41,4.25,3.59,3.91
445,31-9099.01,Speech-Language Pathology Assistants,0.28,0,"Assist speech-language pathologists in the assessment and treatment of speech, language, voice, and fluency disorders. Implement speech and language programs or activities as planned and directed by speech-language pathologists. Monitor the use of alternative communication devices and systems.",3.02,3.5,2.75,3.12,3.86,4.11,4.44,4.39
446,31-9099.02,Endoscopy Technicians,0.16,0,Maintain a sterile field to provide support for physicians and nurses during endoscopy procedures. Prepare and maintain instruments and equipment. May obtain specimens.,2.87,3.25,3,2.62,3.76,3.79,3.55,3.84
447,33-1011.00,First-Line Supervisors of Correctional Officers,0.6,1,Directly supervise and coordinate activities of correctional officers and jailers.,3.39,4,3.25,3.25,4.53,4.37,3.49,4.01
448,33-1012.00,First-Line Supervisors of Police and Detectives,0.86,1,Directly supervise and coordinate activities of members of police force.,3.78,4.12,3.88,4,4.71,5.01,3.55,4.13
449,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,0.89,1,Directly supervise and coordinate activities of workers engaged in firefighting and fire prevention and control.,3.9,4.12,3.88,4,4.14,5.15,3.6,4.12
450,33-2011.00,Firefighters,0.41,0,"Control and extinguish fires or respond to emergency situations where life, property, or the environment is at risk. Duties may include fire prevention, emergency medical service, hazardous material response, search and rescue, and disaster assistance.",3.39,3.75,3,2.94,3.88,3.96,3.69,3.94
451,33-2021.00,Fire Inspectors and Investigators,0.74,1,"Inspect buildings to detect fire hazards and enforce local ordinances and state laws, or investigate and gather facts to determine cause of fires and explosions.",3.81,4.06,3.62,3.5,4.67,4.39,3.56,4.1
452,33-2022.00,Forest Fire Inspectors and Prevention Specialists,0.59,1,"Enforce fire regulations, inspect forest for fire hazards, and recommend forest fire prevention or control measures. May report forest fires and weather conditions.",3.35,3.88,3.25,3.25,3.47,4.5,3.69,3.76
453,33-3011.00,Bailiffs,0.1,0,Maintain order in courts of law.,2.57,3.12,2.12,2.38,4.09,4.04,2.88,3.29
454,33-3012.00,Correctional Officers and Jailers,0.27,0,"Guard inmates in penal or rehabilitative institutions in accordance with established regulations and procedures. May guard prisoners in transit between jail, courtroom, prison, or other point. Includes deputy sheriffs and police who spend the majority of their time guarding prisoners in correctional institutions.",3.22,3.62,3,2.75,3.94,3.42,3.31,3.83
455,33-3021.00,Detectives and Criminal Investigators,0.78,1,"Conduct investigations related to suspected violations of federal, state, or local laws to prevent or solve crimes.",3.83,4.12,3.69,3.88,4.43,4.42,3.71,4.04
456,33-3021.02,Police Identification and Records Officers,0.59,1,"Collect evidence at crime scene, classify and identify fingerprints, and photograph evidence for use in criminal and civil cases.",3.55,4,3.25,3.12,4.42,4.05,3.61,4.17
457,33-3021.06,Intelligence Analysts,0.91,1,"Gather, analyze, or evaluate information from a variety of sources, such as law enforcement databases, surveillance, intelligence networks or geographic information systems. Use intelligence data to anticipate and prevent organized crime activities, such as terrorism.",4.07,4.25,3.5,3.88,5.23,5.17,3.74,4.87
458,33-3031.00,Fish and Game Wardens,0.65,1,Patrol assigned area to prevent fish and game law violations. Investigate reports of damage to crops or property by wildlife. Compile biological data.,3.44,4,3.5,3.25,4.53,5.01,3.74,3.68
459,33-3041.00,Parking Enforcement Workers,0.06,0,"Patrol assigned area, such as public parking lot or city streets to issue tickets to overtime parking violators and illegally parked vehicles.",2.68,3,2.38,2.38,3.81,3.58,3.44,3.34
460,33-3051.00,Police and Sheriff's Patrol Officers,0.63,1,"Maintain order and protect life and property by enforcing local, tribal, state, or federal laws and ordinances. Perform a combination of the following duties: patrol a specific area; direct traffic; issue traffic summonses; investigate accidents; apprehend and arrest suspects, or serve legal processes of courts. Includes police officers working at educational institutions.",3.53,3.94,3.19,3.44,4.63,4.47,3.19,3.88
461,33-3051.04,Customs and Border Protection Officers,0.49,0,"Investigate and inspect persons, common carriers, goods, and merchandise, arriving in or departing from the United States or between states to detect violations of immigration and customs laws and regulations.",3.41,3.88,3.12,3,5.27,4.28,2.97,3.84
462,33-3052.00,Transit and Railroad Police,0.39,0,"Protect and police railroad and transit property, employees, or passengers.",3.39,3.38,3,3,3.05,3.73,3.32,4.03
463,33-9011.00,Animal Control Workers,0.23,0,"Handle animals for the purpose of investigations of mistreatment, or control of abandoned, dangerous, or unattended animals.",3.22,3.5,2.88,2.75,3.89,3.86,4.08,3.93
464,33-9021.00,Private Detectives and Investigators,0.64,1,"Gather, analyze, compile, and report information regarding individuals or organizations to clients, or detect occurrences of unlawful acts or infractions of rules in private establishment.",3.61,4.12,3.38,3,4.42,4.04,3.64,4.16
465,33-9031.00,Gambling Surveillance Officers and Gambling Investigators,0.39,0,"Observe gambling operation for irregular activities such as cheating or theft by either employees or patrons. Investigate potential threats to gambling assets such as money, chips, and gambling equipment. Act as oversight and security agent for management and customers.",3.05,3.75,3.12,2.5,4.63,4.14,2.81,3.8
466,33-9032.00,Security Guards,0.08,0,"Guard, patrol, or monitor premises to prevent theft, violence, or infractions of rules. May operate x-ray and metal detector equipment.",2.63,2.88,2.5,2.25,3.9,3.94,2.59,2.59
467,33-9091.00,Crossing Guards and Flaggers,0.02,0,"Guide or control vehicular or pedestrian traffic at such places as streets, schools, railroad crossings, or construction sites.",2.05,2.5,1.62,1.88,2.27,2.41,2.63,3.13
468,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.1,0,"Monitor recreational areas, such as pools, beaches, or ski slopes, to provide assistance and protection to participants.",2.82,3,2.75,2.62,2.51,3.11,2.96,3.28
469,33-9093.00,Transportation Security Screeners,0.2,0,"Conduct screening of passengers, baggage, or cargo to ensure compliance with Transportation Security Administration (TSA) regulations. May operate basic security equipment such as x-ray machines and hand wands at screening checkpoints.",3.13,3.5,3,2.75,3.03,3.03,2.5,2.63
470,33-9099.02,Retail Loss Prevention Specialists,0.35,0,"Implement procedures and systems to prevent merchandise loss. Conduct audits and investigations of employee activity. May assist in developing policies, procedures, and systems for safeguarding assets.",3.11,3.62,3,2.88,4.86,4.38,3.68,4.17
471,35-1011.00,Chefs and Head Cooks,0.68,1,"Direct and may participate in the preparation, seasoning, and cooking of salads, soups, fish, meats, vegetables, desserts, or other foods. May plan and price menu items, order supplies, and keep records and accounts.",3.59,3.88,3.75,3.25,3.98,4.8,4.21,4.07
472,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,0.41,0,Directly supervise and coordinate activities of workers engaged in preparing and serving food.,3.05,4,3.25,3,2.94,3.28,3.29,3.54
473,35-2011.00,"Cooks, Fast Food",0.03,0,Prepare and cook food in a fast food restaurant with a limited menu. Duties of these cooks are limited to preparation of a few basic items and normally involve operating large-volume single-purpose cooking equipment.,2.39,2.38,2.25,2.12,1.71,2.42,2.56,3.16
474,35-2012.00,"Cooks, Institution and Cafeteria",0.05,0,"Prepare and cook large quantities of food for institutions, such as schools, hospitals, or cafeterias.",2.87,2.88,2.88,2.88,2.75,2.64,3.47,3.11
475,35-2013.00,"Cooks, Private Household",0.12,0,Prepare meals in private homes. Includes personal chefs.,3.12,3,3.12,2.88,2.05,2.94,3.88,3.33
476,35-2014.00,"Cooks, Restaurant",0.07,0,"Prepare, season, and cook dishes such as soups, meats, vegetables, or desserts in restaurants. May order supplies, keep records and accounts, price items on menu, or plan menu.",2.88,3,2.75,2.12,3.08,3.42,3.67,3.22
477,35-2015.00,"Cooks, Short Order",0.04,0,Prepare and cook to order a variety of foods that require only a short preparation time. May take orders from customers and serve patrons at counters or tables.,2.72,2.75,2.62,2.12,3.01,3,3.28,3.32
478,35-2021.00,Food Preparation Workers,0.02,0,"Perform a variety of food preparation duties other than cooking, such as preparing cold foods and shellfish, slicing meat, and brewing coffee or tea.",2.25,2.12,2.12,2.12,2.85,3.16,2.99,3.17
479,35-3011.00,Bartenders,0.08,0,"Mix and serve drinks to patrons, directly or through waitstaff.",2.97,2.88,3,2.62,2.23,2.58,3.58,3.41
480,35-3023.00,Fast Food and Counter Workers,0.01,0,Perform duties such as taking orders and serving food and beverages. Serve customers at counter or from a steam table. May take payment. May prepare food and beverages.,2.34,2.44,2.06,2.19,1.83,1.79,3.2,3.21
481,35-3023.01,Baristas,0.04,0,Prepare or serve specialty coffee or other beverages. Serve food such as baked goods or sandwiches to patrons.,2.55,2.75,2.62,2.25,2.25,2.5,2.54,2.65
482,35-3031.00,Waiters and Waitresses,0.02,0,Take orders and serve food and beverages to patrons at tables in dining establishment.,2.28,2.75,2.12,2.12,2.4,2.49,2.86,2.86
483,35-3041.00,"Food Servers, Nonrestaurant",0.01,0,"Serve food to individuals outside of a restaurant environment, such as in hotel rooms, hospital rooms, residential care facilities, or cars.",2.14,2.38,2.12,2.12,3.11,2.52,3.63,3.77
484,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,0.02,0,"Facilitate food service. Clean tables; remove dirty dishes; replace soiled table linens; set tables; replenish supply of clean linens, silverware, glassware, and dishes; supply service bar with food; and serve items such as water, condiments, and coffee to patrons.",2.1,2.25,2.12,2,2.23,2.87,2.54,2.87
485,35-9021.00,Dishwashers,0.02,0,"Clean dishes, kitchen, food preparation equipment, or utensils.",1.96,2.12,2,2.12,3.64,3.7,2.98,2.99
486,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.03,0,"Welcome patrons, seat them at tables or in lounge, and help ensure quality of facilities and service.",2.41,2.62,2.38,1.75,2.01,2.24,2.23,2.46
487,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,0.17,0,"Directly supervise and coordinate work activities of cleaning personnel in hotels, hospitals, offices, and other establishments.",2.84,3.25,2.88,2.88,4.04,4.16,3.58,3.65
488,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.42,0,"Directly supervise and coordinate activities of workers engaged in landscaping or groundskeeping activities. Work may involve reviewing contracts to ascertain service, machine, and workforce requirements; answering inquiries from potential customers regarding methods, material, and price ranges; and preparing estimates according to labor, material, and machine costs.",3.07,3.75,3,3,3.57,4.4,3.43,3.54
489,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0.01,0,"Keep buildings in clean and orderly condition. Perform heavy cleaning duties, such as cleaning floors, shampooing rugs, washing walls and glass, and removing rubbish. Duties may include tending furnace and boiler, performing routine maintenance activities, notifying management of need for repairs, and cleaning snow or debris from sidewalk.",2.37,2.12,2,2,1.69,2.31,2.72,2.94
490,37-2012.00,Maids and Housekeeping Cleaners,0.01,0,"Perform any combination of light cleaning duties to maintain private households or commercial establishments, such as hotels and hospitals, in a clean and orderly manner. Duties may include making beds, replenishing linens, cleaning rooms and halls, and vacuuming.",2.03,2.12,1.62,2.12,1.95,2.11,2.99,3.08
491,37-2021.00,Pest Control Workers,0.2,0,Apply or release chemical solutions or toxic gases and set traps to kill or remove pests and vermin that infest buildings and surrounding areas.,2.93,3.38,2.88,3,2.53,3.42,3.27,3.25
492,37-3011.00,Landscaping and Groundskeeping Workers,0.02,0,"Landscape or maintain grounds of property using hand or power tools or equipment. Workers typically perform a variety of tasks, which may include any combination of the following: sod laying, mowing, trimming, planting, watering, fertilizing, digging, raking, sprinkler installation, and installation of mortarless segmental concrete masonry wall units.",2.36,1.88,2,2.12,2.33,3.15,3.05,3.2
493,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",0.11,0,"Mix or apply pesticides, herbicides, fungicides, or insecticides through sprays, dusts, vapors, soil incorporation, or chemical application on trees, shrubs, lawns, or crops. Usually requires specific training and state or federal certification.",2.73,2.88,2.38,2.88,3.12,3.85,3.17,3.5
494,37-3013.00,Tree Trimmers and Pruners,0.11,0,"Using sophisticated climbing and rigging techniques, cut away dead or excess branches from trees or shrubs to maintain right-of-way for roads, sidewalks, or utilities, or to improve appearance, health, and value of tree. Prune or treat trees or shrubs using handsaws, hand pruners, clippers, and power pruners. Works off the ground in the tree canopy and may use truck-mounted lifts.",2.8,3,2.12,2.75,3.12,3.67,3.1,3.49
495,39-1013.00,First-Line Supervisors of Gambling Services Workers,0.27,0,"Directly supervise and coordinate activities of workers in assigned gambling areas. May circulate among tables, observe operations, and ensure that stations and games are covered for each shift. May verify and pay off jackpots. May reset slot machines after payoffs and make repairs or adjustments to slot machines or recommend removal of slot machines for repair. May plan and organize activities and services for guests in hotels/casinos.",2.94,3.81,2.88,2.94,3.17,3.06,2.72,3.2
496,39-1022.00,First-Line Supervisors of Personal Service Workers,0.4,0,Supervise and coordinate activities of personal service workers.,3.27,3.75,3,3.12,3.02,3.68,4.15,4.08
497,39-2011.00,Animal Trainers,0.34,0,"Train animals for riding, harness, security, performance, or obedience, or for assisting persons with disabilities. Accustom animals to human voice and contact, and condition animals to respond to commands. Train animals according to prescribed standards for show or competition. May train animals to carry pack loads or work as part of pack team.",3.29,3.38,3.12,2.75,3.12,4.21,3.79,3.77
498,39-2021.00,Animal Caretakers,0.07,0,"Feed, water, groom, bathe, exercise, or otherwise provide care to promote and maintain the well-being of pets and other animals that are not raised for consumption, such as dogs, cats, race horses, ornamental fish or birds, zoo animals, and mice. Work in settings such as kennels, animal shelters, zoos, circuses, and aquariums. May keep records of feedings, treatments, and animals received or discharged. May clean, disinfect, and repair cages, pens, or fish tanks.",2.59,2.88,2.12,2.25,2.79,3.33,3.17,3.74
499,39-3011.00,Gambling Dealers,0.03,0,"Operate table games. Stand or sit behind table and operate games of chance by dispensing the appropriate number of cards or blocks to players, or operating other gambling equipment. Distribute winnings or collect players' money or chips. May compare the house's hand against players' hands.",2.64,2.88,2.38,2,1.85,1.43,3.12,3.38
500,39-3012.00,Gambling and Sports Book Writers and Runners,0.05,0,"Post information enabling patrons to wager on various races and sporting events. Assist in the operation of games such as keno and bingo. May operate random number-generating equipment and announce the numbers for patrons. Receive, verify, and record patrons' wagers. Scan and process winning tickets presented by patrons and pay out winnings for those wagers.",2.64,2.88,2.5,2.25,2.55,2.5,2.7,3.07
501,39-3021.00,Motion Picture Projectionists,0.05,0,Set up and operate motion picture projection and related sound reproduction equipment.,2.61,2.75,2.12,2.25,1.89,2.31,3.05,3.63
502,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",0.02,0,"Assist patrons at entertainment events by performing duties, such as collecting admission tickets and passes from patrons, assisting in finding seats, searching for lost articles, and helping patrons locate such facilities as restrooms and telephones.",2.27,2.62,2.12,2.12,1.83,2.15,2.66,2.44
503,39-3091.00,Amusement and Recreation Attendants,0.02,0,"Perform a variety of attending duties at amusement or recreation facility. May schedule use of recreation facilities, maintain and provide equipment to participants of sporting events or recreational pursuits, or operate amusement concessions and rides.",2.29,2.75,2,2.12,2.23,2.57,2.73,2.58
504,39-3092.00,Costume Attendants,0.08,0,"Select, fit, and take care of costumes for cast members, and aid entertainers. May assist with multiple costume changes during performances.",3,2.88,2.25,2.38,2.44,3.3,4.07,3.69
505,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",0.01,0,"Provide personal items to patrons or customers in locker rooms, dressing rooms, or coatrooms.",2.18,2.75,2,2,1.56,1.67,2.96,2.6
506,39-4011.00,Embalmers,0.15,0,Prepare bodies for interment in conformity with legal requirements.,3,3.12,3,3,4.14,3.96,3.67,3.76
507,39-4021.00,Funeral Attendants,0.05,0,"Perform a variety of tasks during funeral, such as placing casket in parlor or chapel prior to service, arranging floral offerings or lights around casket, directing or escorting mourners, closing casket, and issuing and storing funeral equipment.",2.21,2.75,1.5,2,3.74,4.05,2.79,3
508,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",0.43,0,"Perform various tasks to arrange and direct individual funeral services, such as coordinating transportation of body to mortuary, interviewing family or other authorized person to arrange details, selecting pallbearers, aiding with the selection of officials for religious rites, and providing transportation for mourners.",3.19,3.88,3.25,3.25,3.89,4.2,3.73,3.54
509,39-5011.00,Barbers,0.05,0,"Provide barbering services, such as cutting, trimming, shampooing, and styling hair; trimming beards; or giving shaves.",2.57,2.75,2.5,2.12,2.87,3.46,3.49,3.29
510,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",0.28,0,"Provide beauty services, such as cutting, coloring, and styling hair, and massaging and treating scalp. May shampoo hair, apply makeup, dress wigs, remove hair, and provide nail and skincare services.",3.07,3.5,3,2.88,2.46,4.05,3.93,3.23
511,39-5091.00,"Makeup Artists, Theatrical and Performance",0.36,0,"Apply makeup to performers to reflect period, setting, and situation of their role.",3.36,3.25,3.25,2.75,2.05,4.19,4.22,3.65
512,39-5092.00,Manicurists and Pedicurists,0.01,0,Clean and shape customers' fingernails and toenails. May polish or decorate nails.,2.27,2.5,2.25,2,1.61,2.01,3.04,2.76
513,39-5093.00,Shampooers,0.01,0,Shampoo and rinse customers' hair.,2.09,2.12,2,1.88,2.04,2.68,3.25,3.23
514,39-5094.00,Skincare Specialists,0.1,0,Provide skincare treatments to face and body to enhance an individual's appearance. Includes electrologists and laser hair removal specialists.,2.97,3,2.88,2.88,2.25,3.17,3.86,3.24
515,39-6011.00,Baggage Porters and Bellhops,0.03,0,Handle baggage for travelers at transportation terminals or for guests at hotels or similar establishments.,2.28,2.75,2.12,2.12,3.15,3.35,2.85,2.87
516,39-6012.00,Concierges,0.31,0,"Assist patrons at hotel, apartment, or office building with personal services. May take messages; arrange or give advice on transportation, business services, or entertainment; or monitor guest requests for housekeeping and maintenance.",3.05,3.62,2.88,2.62,2.81,3.68,4.14,4.14
517,39-7011.00,Tour Guides and Escorts,0.07,0,"Escort individuals or groups on sightseeing tours or through places of interest, such as industrial establishments, public buildings, and art galleries.",2.77,3.12,2.38,2.12,2.35,2.85,3.11,3.1
518,39-7012.00,Travel Guides,0.22,0,"Plan, organize, and conduct long-distance travel, tours, and expeditions for individuals and groups.",3.31,3.5,2.88,3.12,2.78,3.4,4.03,3.34
519,39-9011.00,Childcare Workers,0.13,0,"Attend to children at schools, businesses, private households, and childcare institutions. Perform a variety of tasks, such as dressing, feeding, bathing, and overseeing play.",3.02,3,3,2.88,2.25,3.15,3.74,3.61
520,39-9011.01,Nannies,0.28,0,"Care for children in private households and provide support and expertise to parents in satisfying children's physical, emotional, intellectual, and social needs. Duties may include meal planning and preparation, laundry and clothing care, organization of play activities and outings, discipline, intellectual stimulation, language activities, and transportation.",3.21,3.25,3,3,1.43,2.99,3.52,3.65
521,39-9031.00,Exercise Trainers and Group Fitness Instructors,0.15,0,"Instruct or coach groups or individuals in exercise activities for the primary purpose of personal fitness. Demonstrate techniques and form, observe participants, and explain to them corrective measures necessary to improve their skills. Develop and implement individualized approaches to exercise.",3.07,3.12,2.88,2.75,2.42,3.67,3.71,3.14
522,39-9032.00,Recreation Workers,0.41,0,"Conduct recreation activities with groups in public, private, or volunteer agencies or recreation facilities. Organize and promote activities, such as arts and crafts, sports, games, music, dramatics, social recreation, camping, and hobbies, taking into account the needs and interests of individual members.",3.14,3.62,3.12,3,3.7,4.5,3.95,3.92
523,39-9041.00,Residential Advisors,0.43,0,"Coordinate activities in resident facilities in secondary school and college dormitories, group homes, or similar establishments. Order supplies and determine need for maintenance, repairs, and furnishings. May maintain household records and assign rooms. May assist residents with problem solving or refer them to counseling resources.",3.09,4,3,3,3.19,3.72,3.56,3.65
524,41-1011.00,First-Line Supervisors of Retail Sales Workers,0.44,0,"Directly supervise and coordinate activities of retail sales workers in an establishment or department. Duties may include management functions, such as purchasing, budgeting, accounting, and personnel work, in addition to supervisory duties.",3.23,3.88,3.38,3.5,3.32,3.45,4.1,4.09
525,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,0.68,1,"Directly supervise and coordinate activities of sales workers other than retail sales workers. May perform duties such as budgeting, accounting, and personnel work, in addition to supervisory duties.",3.45,3.88,3.62,3.62,4.42,4.68,2.88,3.63
526,41-2011.00,Cashiers,0.03,0,"Receive and disburse money in establishments other than financial institutions. May use electronic scanners, cash registers, or related equipment. May process credit or debit card transactions and validate checks.",2.63,2.62,2.25,2.12,2.5,2.54,3.47,3.48
527,41-2012.00,Gambling Change Persons and Booth Cashiers,0.09,0,"Exchange coins, tokens, and chips for patrons' money. May issue payoffs and obtain customer's signature on receipt. May operate a booth in the slot machine area and furnish change persons with money bank at the start of the shift, or count and audit money in drawers.",2.68,2.88,2.12,2.25,3.44,2.98,2.31,3.74
528,41-2021.00,Counter and Rental Clerks,0.04,0,"Receive orders, generally in person, for repairs, rentals, and services. May describe available options, compute cost, and accept payment.",2.64,2.88,2.25,2.38,2.77,2.73,3,3.2
529,41-2022.00,Parts Salespersons,0.19,0,Sell spare and replacement parts and equipment in repair shop or parts store.,2.97,3.12,3,3,3.62,3.86,3.07,3.59
530,41-2031.00,Retail Salespersons,0.09,0,"Sell merchandise, such as furniture, motor vehicles, appliances, or apparel to consumers.",2.91,3.12,2.88,2.5,2.64,2.83,3.07,3.16
531,41-3011.00,Advertising Sales Agents,0.55,1,"Sell or solicit advertising space, time, or media in publications, signage, TV, radio, or Internet establishments or public spaces.",3.41,3.75,3.62,3.12,3.38,4.41,3.78,3.63
532,41-3021.00,Insurance Sales Agents,0.56,1,"Sell life, property, casualty, health, automotive, or other types of insurance. May refer clients to independent brokers, work as an independent broker, or be employed by an insurance company.",3.23,3.88,3.38,3.12,3.63,3.79,3,3.96
533,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.74,1,"Buy and sell securities or commodities in investment and trading firms, or provide financial services to businesses and individuals. May advise customers about stocks, bonds, mutual funds, commodities, and market conditions.",3.6,4.19,3.69,3.31,4.43,4.13,3.43,4.17
534,41-3041.00,Travel Agents,0.41,0,"Plan and sell transportation and accommodations for customers. Determine destination, modes of transportation, travel dates, costs, and accommodations required. May also describe, plan, and arrange itineraries and sell tour packages. May assist in resolving clients' travel problems.",3.16,3.75,3.12,2.88,3.56,3.65,2.35,3.26
535,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.44,0,"Sell goods for wholesalers or manufacturers where technical or scientific knowledge is required in such areas as biology, engineering, chemistry, and electronics, normally obtained from at least 2 years of postsecondary education.",3.46,3.75,3.75,3.12,2.79,3.33,3.79,3.62
536,41-4011.07,Solar Sales Representatives and Assessors,0.51,1,"Contact new or existing customers to determine their solar equipment needs, suggest systems or equipment, or estimate costs.",3.39,3.75,3.38,3.12,3.61,4.11,2.96,3.41
537,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.5,0,Sell goods for wholesalers or manufacturers to businesses or groups of individuals. Work requires substantial knowledge of items sold.,3.12,3.75,3.25,3,2.5,3.88,4.22,4.34
538,41-9011.00,Demonstrators and Product Promoters,0.09,0,Demonstrate merchandise and answer questions for the purpose of creating public interest in buying the product. May sell demonstrated merchandise.,3,3,3,2.38,2.19,2.82,3.15,2.74
539,41-9012.00,Models,0.01,0,"Model garments or other apparel and accessories for prospective buyers at fashion shows, private showings, or retail establishments. May pose for photos to be used in magazines or advertisements. May pose as subject for paintings, sculptures, and other types of artistic expression.",2.12,1.88,1.62,1.75,0.91,2.14,2.46,1.77
540,41-9021.00,Real Estate Brokers,0.42,0,"Operate real estate office, or work for commercial real estate firm, overseeing real estate transactions. Other duties usually include selling real estate or renting properties and arranging loans.",3.05,3.88,3.75,2.88,3.61,3.91,3.9,3.69
541,41-9022.00,Real Estate Sales Agents,0.58,1,"Rent, buy, or sell property for clients. Perform duties such as study property listings, interview prospective clients, accompany clients to property site, discuss conditions of sale, and draw up real estate contracts. Includes agents who represent buyer.",3.23,4,3.25,3,3.79,4.53,3.16,3.45
542,41-9031.00,Sales Engineers,0.82,1,"Sell business goods or services, the selling of which requires a technical background equivalent to a baccalaureate degree in engineering.",3.93,4,3.88,3.75,4.54,4.64,3.73,4.26
543,41-9041.00,Telemarketers,0.05,0,Solicit donations or orders for goods or services over the telephone.,2.36,3.38,1.5,2.25,1.95,2,2.68,2.92
544,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.12,0,Sell goods or services door-to-door or on the street.,2.9,3.12,2.62,2.25,1.66,2.78,2.38,2.42
545,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,0.56,1,Directly supervise and coordinate the activities of clerical and administrative support workers.,3.3,3.88,3.75,3.25,4.14,4.09,3.62,4.03
546,43-2011.00,"Switchboard Operators, Including Answering Service",0.02,0,"Operate telephone business systems equipment or switchboards to relay incoming, outgoing, and interoffice calls. May supply information to callers and record messages.",2.3,2.75,2.25,2.25,2.89,2.39,2.86,3.21
